FirstName	LastName	At-Bats	Hits	BattingAverage	RemainingAt-Bats	RemainingHits	RemainingAverage	SeasonAt-Bats	SeasonHits
Roberto	Clemente	45	18	0.4	367	127	0.346	412	145
Frank	Robinson	45	17	0.378	426	127	0.2981	471	144
Frank	Howard	45	16	0.356	521	144	0.2764	566	160
Jay	Johnstone	45	15	0.333	275	61	0.2218	320	76
Ken	Berry	45	14	0.311	418	114	0.2727	463	128
Jim	Spencer	45	14	0.311	466	126	0.2704	511	140
Don	Kessinger	45	13	0.289	586	155	0.2645	631	168
Luis	Alvarado	45	12	0.267	138	29	0.2101	183	41
Ron	Santo	45	11	0.244	510	137	0.2686	555	148
Ron	Swaboda	45	11	0.244	200	46	0.23	245	57
Rico	Petrocelli	45	10	0.222	538	142	0.2639	583	152
Ellie	Rodriguez	45	10	0.222	186	42	0.2258	231	52
George	Scott	45	10	0.222	435	132	0.3034	480	142
Del	Unser	45	10	0.222	277	73	0.2635	322	83
Billy	Williams	45	10	0.222	591	195	0.3299	636	205
Bert	Campaneris	45	9	0.2	558	159	0.2849	603	168
Thurman	Munson	45	8	0.178	408	129	0.3162	453	137
Max	Alvis	45	7	0.156	70	14	0.2	115	21
